티커,보유량,분류,국가
AAPL,84903,주식,미국
AXP,52869,주식,미국
BAC,215839,주식,미국
KO,154311,주식,미국
CVX,44151,주식,미국
MCO,9919,주식,미국
OXY,105598,주식,미국
KHC,127443,주식,미국
CB,11290,주식,미국
KR,20562,주식,미국
V,3283,주식,미국
MA,1521,주식,미국
AMZN,3828,주식,미국
STZ,6004,주식,미국
UNH,1670,주식,미국
COF,2718,주식,미국
AON,1660,주식,미국
DPZ,1096,주식,미국
ALLY,10737,주식,미국
POOL,1289,주식,미국
LLYVK,3639,주식,미국
NUE,2348,주식,미국
LEN,2339,주식,미국
LPX,2051,주식,미국
CHTR,673,주식,미국
LLYVA,1661,주식,미국
HEI-A,528,주식,미국
FWONK,1235,주식,미국
DHI,441,주식,미국
LAMR,495,주식,미국
ALLE,223,주식,미국
NVR,4,주식,미국
JEF,182,주식,미국
DEO,102,주식,미국
LEN-B,83,주식,미국
LILA,1214,주식,미국
BATRK,1,주식,미국
LILAK,1,주식,미국
